Сталь;C;Si;Mn;Cr;Ni;Ti;Al;W;Mo;Nb;V;S;P;Cu;Co;Zr;Be;Se;N;Pb;Fe;Класс;Использование
Е;до 0,18;0,15 - 0,37;0,6 - 1,4;0;0;0;0,015 - 0,06;0;0;0;0;до 0,04;до 0,04;0;0;0;0;0;до 0,008;0;~98;Класс: Сталь для судостроения;Использование в промышленности: для постройки судов и плавучих сооружений
Е32;до 0,18;0,15 - 0,5;0,9 - 1,6;до 0,2;до 0,4;0;0,015 - 0,06;0;до 0,08;0;0;до 0,035;до 0,035;до 0,35;0;0;0;0;до 0,008;0;~97;Класс: Сталь для судостроения;Использование в промышленности: для постройки судов и плавучих сооружений
С235;до 0,22;до 0,05;до 0,6;до 0,3;до 0,3;0;0;0;0;0;0;до 0,05;до 0,04;до 0,3;0;0;0;0;до 0,012;0;~98;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С245;до 0,22;0,05 - 0,15;до 0,65;до 0,3;до 0,3;0;0;0;0;0;0;до 0,05;до 0,04;до 0,3;0;0;0;0;до 0,012;0;~98;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С255;до 0,22;0,15 - 0,3;до 0,65;до 0,3;до 0,3;0;0;0;0;0;0;до 0,05;до 0,04;до 0,3;0;0;0;0;до 0,012;0;~97;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С275;до 0,22;0,05 - 0,15;до 0,65;до 0,3;до 0,3;0;0;0;0;0;0;до 0,05;до 0,04;до 0,3;0;0;0;0;до 0,012;0;~98;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С285;до 0,22;0,15 - 0,3;до 0,65;до 0,03;до 0,05;0;0;0;0;0;0;до 0,05;до 0,04;до 0,03;0;0;0;0;до 0,012;0;~98;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С345;до 0,15;до 0,8;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;до 0,3;0;0;0;0;до 0,012;0;~96;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С345Д;до 0,15;до 0,8;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;до 0,012;0;~96;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С345К;до 0,12;0,17 - 0,37;0,3 - 0,6;0,5 - 0,8;0,3 - 0,6;0;0,08 - 0,15;0;0;0;0;до 0,04;0,07 - 0,12;0,3 - 0,5;0;0;0;0;до 0,012;0;~97;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С375;до 0,15;до 0,8;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;до 0,3;0;0;0;0;до 0,012;0;~96;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С375Д;до 0,15;до 0,8;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;до 0,012;0;~96;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С390;до 0,18;до 0,6;1,2 - 1,6;до 0,4;до 0,3;0;0;0;0;0;0,07 - 0,12;до 0,04;до 0,035;до 0,3;0;0;0;0;0,015 - 0,025;0;~96;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С390Д;до 0,18;до 0,6;1,2 - 1,6;до 0,4;до 0,3;0;0;0;0;0;0,07 - 0,12;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;0,015 - 0,025;0;~96;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С390К;до 0,18;до 0,17;1,2 - 1,6;до 0,3;до 0,3;0;0;0;0;0;0,08 - 0,15;до 0,04;до 0,035;0,2 - 0,4;0;0;0;0;0,015 - 0,025;0;~97;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С440;до 0,2;до 0,6;1,3 - 1,7;до 0,4;до 0,3;0;0;0;0;0;0,08 - 0,14;до 0,04;до 0,035;до 0,3;0;0;0;0;0,015 - 0,025;0;~96;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С440Д;до 0,2;до 0,6;1,3 - 1,7;до 0,4;до 0,3;0;0;0;0;0;0,08 - 0,14;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;0,015 - 0,025;0;~96;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С590;до 0,15;0,4 - 0,7;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0,15 - 0,25;0;0,07 - 0,15;до 0,035;до 0,035;до 0,3;0;0;0;0;до 0,012;0;~96;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
С590К;до 0,14;0,2 - 0,5;0,9 - 1,4;0,2 - 0,5;1,4 - 1,75;0;0,05 - 0,1;0;0,15 - 0,25;0;0,05 - 0,1;до 0,035;до 0,035;до 0,3;0;0;0;0;0,02 - 0,03;0;~95;Класс: Сталь для строительных конструкций;Использование в промышленности: изготовления проката, предназначенного для строительных стальных конструкций со сварными и другими соединениями
10Х15Н35В3ТЮ;до 0,1;до 0,5;1 - 2;14 - 16;34 - 38;0,7 - 1;1,7 - 1,5;3 - 4;0;0;0;до 0,03;до 0,03;0;0;0;0;0;0;0;36,83 - 45,6;Класс: Сплав жаропрочный;Использование в промышленности: диски, лопатки, крепеж для работы до 700 град.
ХН28ВМАБ;до 0,1;до 0,6;до 1,5;19 - 22;25 - 30;0;0;4,8 - 6;2,8 - 3,5;0,7 - 1,3;0;до 0,02;до 0,02;0;0;0;0;0;0,15 - 0,3;0;34,655 - 47,55;Класс: Сплав жаропрочный;"Использование в промышленности: листовые детали турбин; сплав жаростойкий"
ХН32Т;до 0,05;до 0,7;до 0,7;19 - 22;30 - 34;0,25 - 0,6;до 0,5;0;0;0;0;до 0,02;до 0,03;0;0;0;0;0;0;0;41,4 - 50,75;Класс: Сплав жаропрочный;Использование в промышленности: газоотводящие трубы, листовые детали высокотемпературных установок в нефтехимическом машиностроении для длительной службы при температурах 700-850 град.
ХН35ВТ;до 0,12;до 0,6;1 - 2;14 - 16;34 - 38;1,1 - 1,5;0;2,8 - 3,5;0;0;0;до 0,02;до 0,03;0;0;0;0;0;0;0;38,23 - 47,1;Класс: Сплав жаропрочный;Использование в промышленности: диски, роторы, крепежные детали, плоские пружины и другие детали, работающие до 650 °С.
ХН35ВТР;до 0,1;до 0,6;до 1;14 - 16;35 - 38;1,1 - 1,5;0;4 - 5;0;0;0;до 0,02;до 0,03;0;0;0;0;до 0,025;0;0;37,725 - 45,9;Класс: Сплав жаропрочный;Использование в промышленности: лист для корпусов и направляющих лопаток турбин, работающи при температурах до 750-800 град.
ХН35ВТЮ;до 0,08;до 0,6;до 0,6;14 - 16;33 - 37;2,4 - 3,2;0,7 - 1,4;2,5 - 3,5;0;0;0;до 0,02;до 0,035;0;0;0;0;0;0;0;37,545 - 47,4;Класс: Сплав жаропрочный ;Использование в промышленности: рабочие лопатки газотурбинных и других двигателей, работающие при температуре до 700—800 °С, компрессорные лопатки, работающие до 700—800 °С, диски, дефлекторы, кольца, работающие при температуре до 750 °С.
ХН38ВБ;0,06 - 0,12;до 0,8;до 0,7;20 - 23;35 - 39;0;до 0,5;2,8 - 3,5;0;1,2 - 1,7;0;до 0,02;до 0,03;0;0;0;0;0;0;0;30,58 - 40,94;Класс: Сплав жаропрочный;Использование в промышленности: детали газовых систем, листовые детали, работающие при умеренных напряжениях
ХН38ВТ;0,06 - 0,12;до 0,8;до 0,7;20 - 23;35 - 39;0,7 - 1,2;до 0,5;2,8 - 3,5;0;0;0;до 0,02;до 0,03;0;0;0;0;0;0;0;31,08 - 41,44;Класс: Сплав жаропрочный;Использование в промышленности: детали газовых систем, листовые детали, работающие при умеренных напряжениях
ХН45Ю;до 0,1;до 1;до 1;15 - 17;44 - 46;0;2,9 - 3,9;0;0;0;0;до 0,02;до 0,025;0;0;0;0;0;0;0;30,825 - 38,1;Класс: Сплав жаропрочный;Использование в промышленности: ролики щелевых печей, печные конвейерные сетки, детали горелочных устройств, чехлы термопар и др. детали для длительной работы при температурах 1250-1300 град.С
ХН55ВМТКЮ;0,04 - 0,1;до 0,5;до 0,5;9 - 12;0;1,4 - 2;3,6 - 4,5;4,5 - 6,5;4 - 6;0;0,2 - 0,8;до 0,01;до 0,015;0;12 - 16;0;0;0;0;0;~57;Класс: Сплав жаропрочный;Использование в промышленности: лопатки турбин
ХН55МВЮ;до 0,08;до 0,4;до 0,4;9 - 11;51,075 - 60,3;0;4,2 - 5;4,5 - 5,5;5 - 6,5;0;0;до 0,01;до 0,015;0;0;0;0;0;0;0;17 - 20;Класс: Сплав жаропрочный;Использование в промышленности: лопатки, диски турбин
ХН56ВМКЮ;до 0,1;до 0,6;до 0,3;8,5 - 10,5;52,234 - 62,6;0;5,4 - 6,2;6 - 7,5;6,5 - 8;0;0;до 0,011;до 0,015;0;11 - 13;0;0;0;0;0;до 1,5;Класс: Сплав жаропрочный;Использование в промышленности: лопатки газовых турбин и др. детали для длительной работы под нагрузкой при температурах до 950 град.С
ХН56ВМТЮ;до 0,1;до 0,06;до 0,5;19 - 22;52,102 - 64,8;1,1 - 1,6;2,1 - 2,6;9 - 11;4 - 6;0;0;до 0,015;до 0,015;0;0;0;0;0;0;0;до 4;Класс: Сплав жаропрочный;Использование в промышленности: высоконагруженные детали, штуцера, фланцы, листовые детали для ограниченного срока службы при температурах до 950 град.С
ХН57МТВЮ;до 0,07;до 0,5;до 0,5;17 - 19;53,09 - 61,8;2,2 - 2,8;1 - 1,5;1,5 - 2,5;8,5 - 10;0;0;до 0,01;до 0,015;0;0;0;0;0;0;0;8 - 10;Класс: Сплав жаропрочный;Использование в промышленности: лопатки, корпуса и другие детали турбин
ХН60ВТ;до 0,1;до 0,8;до 0,5;23,5 - 26,5;50,874 - 63,2;0,3 - 0,7;до 0,5;13 - 16;0;0;0;до 0,013;до 0,013;0;0;0;0;0;0;0;до 4;Класс: Сплав жаропрочный;"Использование в промышленности: листовые детали двигателя,работающие при температурах до 1000 °С.; сплав жаростойкий, жаропрочный"
ХН60Ю;до 0,1;до 0,8;до 0,3;15 - 18;55 - 58;0;2,6 - 3,5;0;0;0;0;до 0,02;до 0,02;0;0;0;0;0;0;0;19,13 - 27,4;Класс: Сплав жаропрочный;"Использование в промышленности: детали газопроводных систем, аппаратура с ограниченным сроком службы при 1100 град.С и кратковременным сроком службы при 1250 град.С ; сплав жаростойкий"
ХН62МВКЮ;до 0,1;до 0,6;до 0,3;8,5 - 10,5;56,034 - 70;0;4,2 - 4,9;4,3 - 6;9 - 11,5;0;0;до 0,011;до 0,015;0;4 - 6;0;0;0;0;0;до 4;Класс: Сплав жаропрочный;Использование в промышленности: лопатки, диски турбин
ХН65ВМТЮ;до 0,07;до 0,6;до 0,6;15 - 17;60,968 - 70,6;1,2 - 1,6;1,2 - 1,6;8,5 - 10;3,5 - 4,5;0;0;до 0,012;до 0,015;0;0;0;0;0;0;0;до 3;Класс: Сплав жаропрочный;Использование в промышленности: рабочие и направляющие лопатки и крепежные детали газовых турбин для длительной работы при температурах до 800 град.С
ХН70ВМТЮ;до 0,12;до 0,7;до 0,5;13 - 16;61,5 - 76,4;1,8 - 2,3;1,7 - 2,3;5 - 7;2 - 4;0;0,1 - 0,5;до 0,02;до 0,02;0;0;0;0;0;0;0;до 5;Класс: Сплав жаропрочный;Использование в промышленности: для рабочих и сопловых лопаток газовых турбин
ХН70ВМТЮФ;до 0,12;до 0,6;до 0,5;13 - 16;60,621 - 75,2;1,7 - 2,2;2,4 - 2,9;5 - 7;2,5 - 4;0;0,2 - 1;до 0,009;до 0,015;0;0;0;0;0;0;0;до 5;Класс: Сплав жаропрочный;Использование в промышленности: тяжелонагруженные детали, работающие при температуре 850 °С.
ХН70ВМЮТ;0,01 - 0,16;до 0,6;до 0,5;14 - 16;65,02 - 76,29;1 - 1,4;1,7 - 2,2;4 - 6;3 - 5;0;0;до 0,02;до 0,02;до 0,07;0;0;0;0;0;0;до 3;Класс: Сплав жаропрочный;Использование в промышленности: крепежные и другие детали, работающие при температуре до 750—800 °С.
ХН70МВТЮБ;до 0,12;до 0,6;до 0,5;16 - 19;59,425 - 74,6;1,9 - 2,8;1 - 1,7;2 - 3,5;4 - 6;0,5 - 1,3;0;до 0,01;до 0,015;0;0;0;0;0;0;0;до 5;Класс: Сплав жаропрочный;Использование в промышленности: лопатки турбин
ХН70Ю;до 0,1;до 0,8;до 0,3;26 - 29;65,073 - 71,2;0;2,8 - 3,5;0;0;0;0;до 0,012;до 0,015;до 0,07;0;0;0;0;0;0;до 1;Класс: Сплав жаропрочный;Использование в промышленности: различные детали, работающие при умеренных напряжениях, при 1100—1200 °С (может применяться для нагревательных элементов сопротивления).
ХН75ВМЮ;до 0,12;до 0,4;до 0,4;9 - 11;65,725 - 77,49;0;4 - 4,6;4,5 - 5,5;5 - 6,5;0;до 0,7;до 0,01;до 0,015;0;0;0;0;0;0;0;до 5;Класс: Сплав жаропрочный;Использование в промышленности: лопатки турбин
ХН75МБТЮ;до 0,1;до 0,8;до 0,4;19 - 22;68,568 - 77,6;0,35 - 0,75;0,35 - 0,75;0;1,8 - 2,3;0,9 - 1,3;0;до 0,012;до 0,02;0;0;0;0;0;0;0;до 3;Класс: Сплав жаропрочный;"Использование в промышленности: детали газопроводных систем, аппаратура, детали камер сгорания с ограниченным сроком службы при температурах до 950 град.С; сплав жаростойкий"
ХН77ТЮР;до 0,07;до 0,6;до 0,4;19 - 22;69,078 - 78;2,4 - 2,8;0,6 - 1;0;0;0;0;до 0,007;до 0,015;0;0;0;0;0;0;0;до 4;Класс: Сплав жаропрочный;Использование в промышленности: диски, кольца, лопатки и другие детали, работающие до 750 °С.
ХН77ТЮРУ;0,04 - 0,08;до 0,6;до 0,4;19 - 22;71,967 - 77,66;2,6 - 2,9;0,7 - 1;0;0;0;0;до 0,007;до 0,015;0;0;0;0;0;0;до 0,001;до 1;Класс: Сплав жаропрочный;Использование в промышленности: диски, лопатки турбин
ХН78Т;до 0,12;до 0,8;до 0,7;19 - 22;70,003 - 80,85;0,15 - 0,35;0;0;0;0;0;до 0,012;до 0,015;0;0;0;0;0;0;0;до 6;Класс: Сплав жаропрочный;Использование в промышленности: сортовые детали, трубы, работающие до температуры 1100 °С.
ХН80ТБЮ;до 0,08;до 0,8;до 1;15 - 18;72,293 - 81,7;1,8 - 2,3;0,5 - 1;0;0;1 - 1,5;0;до 0,012;до 0,015;0;0;0;0;0;0;0;до 3;Класс: Сплав жаропрочный;Использование в промышленности: лопатки, крепежные детали турбин, длительно работающие при температурах до 700 °С.
12МХ;0,09 - 0,16;0,17 - 0,37;0,4 - 0,7;0,4 - 0,7;до 0,3;до 0,03;0;до 0,2;0,4 - 0,6;0;до 0,05;до 0,025;до 0,03;до 0,2;0;0;0;0;0;0;~97;Класс: Сталь жаропрочная низколегированная;Использование в промышленности: различные детали, работающие при температурах до 530 °С
12Х1МФ;0,08 - 0,15;0,17 - 0,37;0,4 - 0,7;0,9 - 1,2;до 0,3;0;0;0;0,25 - 0,35;0;0,15 - 0,3;до 0,025;до 0,03;до 0,2;0;0;0;0;0;0;~96;Класс: Сталь жаропрочная низколегированная;Использование в промышленности: для изготовления деталей, работающих при температуре 540-580 °С.
12Х2МФБ;0,08 - 0,12;0,4 - 0,7;0,4 - 0,7;2,1 - 2,6;до 0,25;0;0;0;0,5 - 0,7;0,5 - 0,8;0,2 - 0,35;до 0,025;до 0,025;до 0,25;0;0;0;0;0;0;~94;Класс: Сталь жаропрочная низколегированная;Использование в промышленности: трубы котельных установок, длительно работающие при температурах до 570 град.
12Х2МФСР;0,08 - 0,15;0,4 - 0,7;0,4 - 0,7;1,6 - 1,9;до 0,25;0;0;0;0,5 - 0,7;0;0,2 - 0,35;до 0,025;до 0,025;до 0,25;0;0;0;0;0;0;~95;Класс: Сталь жаропрочная низколегированная;Использование в промышленности: пароперегревательные и пароводные трубы, длительно работающие при температурах до 620 град.
12ХМ;0,09 - 0,15;0,15 - 0,3;0,4 - 0,7;0,4 - 0,6;до 0,25;0;0;0;0,4 - 0,6;0;0;до 0,025;до 0,03;до 0,2;0;0;0;0;0;0;~97;Класс: Сталь жаропрочная низколегированная;Использование в промышленности: сортовые заготовки, поковки, котельные трубы для длительной службы при температурах до 500 град.
15Х1М1Ф;0,1 - 0,16;0,17 - 0,37;0,4 - 0,7;1,1 - 1,4;до 0,25;0;0;0;0,9 - 1,1;0;0,2 - 0,25;до 0,025;до 0,025;до 0,25;0;0;0;0;0;0;~96;Класс: Сталь жаропрочная низколегированная;Использование в промышленности: трубы пароперегревателей, паропроводов и коллекторов установок высокого давления, длительно работающих при температурах до 585 град.
15Х2М2ФБС;0,13 - 0,18;0,7 - 1;0,5 - 0,8;1,8 - 2,3;до 0,3;0;0;0;1,2 - 1,5;0,08 - 0,15;0,25 - 0,4;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~93;Класс: Сталь жаропрочная низколегированная;Использование в промышленности: поковки диафрагм, трубы и другие детали, работающие при температуре пара перед турбиной 565-580 град.
15Х5;до 0,15;до 0,5;до 0,5;4,5 - 6;0;0;0;0;0;0;0;до 0,025;до 0,03;0;0;0;0;0;0;0;~93;Класс: Сталь жаропрочная низколегированная;"Использование в промышленности: для труб; сталь жаростойкая, применяемых при температуре не выше 600 град.С"
15Х5ВФ;до 0,15;0,3 - 0,6;до 0,5;4,5 - 6;0;0;0;0,4 - 0,7;0;0;0,4 - 0,6;до 0,025;до 0,03;0;0;0;0;0;0;0;~92;Класс: Сталь жаропрочная низколегированная;Использование в промышленности: корпуса и внутренние элементы аппаратов нефтезаводов и крекинговых труб, детали насосов и другие детали, длительно работающие при температурах до 600 °С.
15Х5М;до 0,15;до 0,5;до 0,5;4,5 - 6;до 0,6;до 0,03;0;до 0,3;0,45 - 0,6;0;до 0,05;до 0,025;до 0,03;до 0,2;0;0;0;0;0;0;~91;Класс: Сталь жаропрочная низколегированная;"Использование в промышленности: трубы, задвижки, крепеж и другие  детали, от которых требуется сопротивляемость окислению при температуре  до 600-650 °С.; сталь мартенситного класса"
15Х6СЮ;до 0,15;1,2 - 1,8;до 0,5;5,5 - 7;0;0;0,7 - 1,1;0;0;0;0;до 0,025;до 0,03;0;0;0;0;0;0;0;~90;Класс: Сталь жаропрочная низколегированная;"Использование в промышленности: детали котельных установок, трубы; сталь жаростойкая"
15ХМ;0,11 - 0,18;0,17 - 0,37;0,4 - 0,7;0,8 - 1,1;до 0,3;0;0;0;0,4 - 0,55;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь жаропрочная низколегированная;Использование в промышленности: сортовые заготовки, поковки,  трубы для перегревателей, паропроводов, коллекторов, фланцы, длительно  работающие при температурах до 500 °С.
15ХМФКР;0,12 - 0,18;0,17 - 0,37;0,4 - 0,7;1 - 1,3;0;0;0;0;0,9 - 1,2;0;0,2 - 0,32;до 0,03;до 0,03;0;1,3 - 1,5;0;0;0;0;0;~95;Класс: Сталь жаропрочная низколегированная;"Использование в промышленности: поковки турбинных деталей, работающие при температуре 580-600 град.; трубы паропроводные, коллекторные, пароперегревательные"
16ГНМ;0,12 - 0,18;0,17 - 0,37;0,8 - 1,1;до 0,3;1 - 1,3;0;0;0;0,4 - 0,55;0;0;до 0,04;до 0,035;0,15 - 0,25;0;0;0;0;0;0;~96;Класс: Сталь жаропрочная низколегированная;Использование в промышленности: барабаны паровых котлов с рабочей температурой до 425 град.
18Х3МВ;0,15 - 0,2;0,17 - 0,37;0,25 - 0,5;2,5 - 3;до 0,3;0;0;0,5 - 0,8;0,5 - 0,7;0;0,05 - 0,15;до 0,025;до 0,03;0;0;0;0;0;0;0;~94;Класс: Сталь жаропрочная низколегированная;"Использование в промышленности: трубы для гидрогенизационных установок; предельная рабочая температура: 450-500°C -длительная,"
08Х15Н24В4ТР;до 0,08;до 0,6;0,5 - 1;14 - 16;22 - 25;1,4 - 1,8;0;4 - 5;0;0;0;до 0,02;до 0,035;0;0;0;0;0;0;0;50,435 - 58,1;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: рабочие и направляющие лопатки, крепежные детали, диски газовых турбин с длительным сроком службы при температурах 650-700 град. ; сталь аустенитного класса"
08Х15Н25М3ТЮБ;до 0,1;до 0,5;1 - 2;14 - 16;24 - 28;0,9 - 1,3;0,8 - 1,3;0;2,8 - 3,5;0;0;до 0,02;до 0,02;0;0;0;0;0;0;0;47,25 - 56,5;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: диски, лопатки, крепеж для работы до 700 град.
08Х16Н11М3;до 0,08;до 0,6;1 - 1,5;15,5 - 17;8,5 - 10;0;0;0;1,5 - 2;0;0;до 0,02;до 0,035;0;0;0;0;0;0;0;~70;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: листы, поковки, трубы, длительно работающие при температурах до 700 град.
08Х16Н13М2Б;0,06 - 0,12;до 0,8;до 1;15 - 17;12,5 - 14,5;0;0;0;2 - 2,5;0,9 - 1,3;0;до 0,02;до 0,035;0;0;0;0;0;0;0;~65;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: поковки для дисков и роторов, лопатки и болты, длительно работающие при температурах до 600 град. ; сталь аустенитного класса"
08Х20Н14С2;до 0,08;2 - 3;до 1,5;19 - 22;12 - 15;0;0;0;0;0;0;до 0,025;до 0,035;0;0;0;0;0;0;0;~61;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: для труб; сталь жаростойкая, устойчива в науглероживающих средах"
08Х21Н6М2Т;до 0,08;до 0,8;до 0,8;20 - 22;5,5 - 6,5;0,2 - 0,4;0;0;1,8 - 2,5;0;0;до 0,025;до 0,035;0;0;0;0;0;0;0;~68;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: теплообменники, реакторы, трубопроводы, арматура, длительно работающие при температурах до 300 град.; сталь аустенитно - ферритного класса"
09Х14Н16Б;0,07 - 0,12;до 0,6;1 - 2;13 - 15;14 - 17;0;0;0;0;0,9 - 1,3;0;до 0,02;до 0,035;0;0;0;0;0;0;0;~67;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: турбины пароперегревателей и трубопроводы установок сверхвысокого давления для длительной службы при температурах до 650 град.; сталь аустенитного класса"
09Х14Н19В2БР;0,07 - 0,12;до 0,6;до 2;13 - 15;18 - 20;0;0;2 - 2,8;0;0,9 - 1,3;0;до 0,02;до 0,035;0;0;0;0;0;0;0;~60;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: паропроводные и пароперегревательные трубы установок сверхвысокого давления с длительным сроком службы при температурах до 700 град.С ; сталь аустенитного класса"
09Х14Н19В2БР1;0,07 - 0,12;до 0,6;до 2;13 - 15;18 - 20;0;0;2 - 2,8;0;0,9 - 1,3;0;до 0,02;до 0,035;0;0;0;0;0;0;0;~60;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: роторы, диски, лопатки турбин с длительным сроком службы при температурах 650-700 град.; сталь аустенитного класса"
09Х16Н15М3Б;до 0,09;до 0,8;до 0,8;15 - 17;14 - 16;0;0;0;2,5 - 3;0,6 - 0,9;0;до 0,02;до 0,035;0;0;0;0;0;0;0;~63;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: трубы пароперегревателей и паропроводов высокого давления, длительно работающие при температурах до 350 °С. ; сталь аустенитного класса"
09Х16Н16МВ2БР;0,06 - 0,11;до 0,8;до 0,6;15 - 17;15 - 17;0;0;2 - 3;0,4 - 0,9;0,6 - 1;0;до 0,02;до 0,03;0;0;0;0;0;0;0;~62;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: трубы пароперегревателей, паропроводов, коллекторов, длительно работающие при температурах 600-700 град.
10Х11Н20Т2Р;до 0,1;до 1;до 1;10 - 12,5;18 - 21;2,3 - 2,8;до 0,8;0;0;0;0;до 0,02;до 0,03;0;0;0;0;0;0;0;~63;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: детали турбин
10Х11Н20Т3Р;до 0,1;до 1;до 1;10 - 12,5;18 - 21;2,6 - 3,2;до 0,8;0;0;0;0;до 0,02;до 0,035;0;0;0;0;0;0;0;~63;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: турбинные диски, кольцевые детали, крепежные детали, детали компрессора и рабочей части турбины с рабочей температурой до 700 град.; сталь аустенитного класса"
10Х11Н23Т3МР;до 0,1;до 0,6;до 0,6;10 - 12,5;21 - 25;2,6 - 3,2;до 0,8;0;1 - 1,6;0;0;до 0,01;до 0,025;0;0;0;0;0;0;0;~59;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: пружины и детали крепежа с ограниченным сроком работы при при температурах до 700 °С; сталь аустенитного класса"
10Х13СЮ;0,07 - 0,12;1,2 - 2;до 0,8;12 - 14;0;0;1 - 1,8;0;0;0;0;до 0,025;до 0,03;0;0;0;0;0;0;0;~83;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: для клапанов автотракторных моторов и т.д.; сталь жаростойкая, устойчива в серосодержащих средах"
10Х15Н25В3ТЮ;до 0,1;до 0,5;1 - 2;14 - 16;24 - 28;0,8 - 1,2;0,8 - 1,3;2,8 - 3,5;0;0;0;до 0,02;до 0,02;0;0;0;0;0;0;0;47,35 - 56,6;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: диски, лопатки, крепеж для работы до 700 град.
10Х15Н25М3В3ТЮК;до 0,1;до 0,5;1 - 2;14 - 16;24 - 28;0,9 - 1,3;0,8 - 1,3;2 - 3;2 - 3;0;0;до 0,02;до 0,02;0;0,5 - 1;0;0;0;0;0;43,75 - 54,8;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: диски, лопатки, крепеж для работы до 700 град.
10Х18Н18Ю4Д;0,07 - 0,13;до 0,8;до 0,8;18 - 19,5;18 - 19,5;0;3,2 - 4,2;0;0;0;0;до 0,02;до 0,035;0,4 - 0,6;0;0;0;0;0;0;~56;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: ролики щелевых печей, чехлы термопар, теплообменники и др. детали, длительно работающие при температурах до 1100 град.
10Х23Н18;до 0,1;до 1;до 2;22 - 25;17 - 20;до 0,2;0;0;0;0;0;до 0,02;до 0,035;до 0,3;0;0;0;0;0;0;~54;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: листовые детали, трубы, арматура (при пониженных нагрузках), работающие при 1000 °С.
10Х25Н25ТР;0,07 - 0,12;до 0,8;1 - 2;23 - 26;24 - 27;1,1 - 1,6;0;0;0;0;0;до 0,02;до 0,035;0;0;0;0;0;0;0;42,415 - 50,83;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: сортовой материал и лист для камер сгорания газовых турбин и других деталей с рабочей температурой до 1000 град.
